AIRPORT_ID,AIRPORT_ABR,CITY_NAME,STATE_ABR,STATE_NM
14588,ROW,"Roswell, NM",NM,New Mexico
14633,RST,"Rochester, MN",MN,Minnesota
14635,RSW,"Fort Myers, FL",FL,Florida
14674,SAF,"Santa Fe, NM",NM,New Mexico
14679,SAN,"San Diego, CA",CA,California
14683,SAT,"San Antonio, TX",TX,Texas
14685,SAV,"Savannah, GA",GA,Georgia
14689,SBA,"Santa Barbara, CA",CA,California
14696,SBN,"South Bend, IN",IN,Indiana
14698,SBP,"San Luis Obispo, CA",CA,California
14709,SCC,"Deadhorse, AK",AK,Alaska
14711,SCE,"State College, PA",PA,Pennsylvania
14730,SDF,"Louisville, KY",KY,Kentucky
14747,SEA,"Seattle, WA",WA,Washington
14771,SFO,"San Francisco, CA",CA,California
14783,SGF,"Springfield, MO",MO,Missouri
14794,SGU,"St. George, UT",UT,Utah
14814,SHV,"Shreveport, LA",LA,Louisiana
14828,SIT,"Sitka, AK",AK,Alaska
14831,SJC,"San Jose, CA",CA,California
14842,SJT,"San Angelo, TX",TX,Texas
14843,SJU,"San Juan, PR",PR,Puerto Rico
14869,SLC,"Salt Lake City, UT",UT,Utah
14893,SMF,"Sacramento, CA",CA,California
14908,SNA,"Santa Ana, CA",CA,California
14952,SPI,"Springfield, IL",IL,Illinois
14986,SRQ,"Sarasota/Bradenton, FL",FL,Florida
15016,STL,"St. Louis, MO",MO,Missouri
15023,STS,"Santa Rosa, CA",CA,California
15024,STT,"Charlotte Amalie, VI",VI,U.S. Virgin Islands
15027,STX,"Christiansted, VI",VI,U.S. Virgin Islands
15041,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,Idaho
15070,SWF,"Newburgh/Poughkeepsie, NY",NY,New York
15096,SYR,"Syracuse, NY",NY,New York
15249,TLH,"Tallahassee, FL",FL,Florida
15295,TOL,"Toledo, OH",OH,Ohio
15304,TPA,"Tampa, FL",FL,Florida
15323,TRI,"Bristol/Johnson City/Kingsport, TN",TN,Tennessee
15356,TTN,"Trenton, NJ",NJ,New Jersey
15370,TUL,"Tulsa, OK",OK,Oklahoma
15376,TUS,"Tucson, AZ",AZ,Arizona
15380,TVC,"Traverse City, MI",MI,Michigan
15389,TWF,"Twin Falls, ID",ID,Idaho
15412,TYS,"Knoxville, TN",TN,Tennessee
15624,VPS,"Valparaiso, FL",FL,Florida
15841,WRG,"Wrangell, AK",AK,Alaska
15897,WYS,"West Yellowstone, MT",MT,Montana
15919,XNA,"Fayetteville, AR",AR,Arkansas
15991,YAK,"Yakutat, AK",AK,Alaska
16218,YUM,"Yuma, AZ",AZ,Arizona
